"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"2213",2021,"2021-07-05",9,"Arena do Grêmio","Marielson Alves Silva",0,60540,"Grêmio","Atlético-GO","Tiago Nunes","Eduardo Barroca",18,10,51.6,7.58,28.3,25.8,0,1,0,0,11,7,16,9,8,15,4,4,2,4,21,10,11,1
"2214",2012,"2012-05-20",1,"Estádio Governador Roberto Santos","Evandro Rogerio Roman",8908,NA,"EC Bahia","Santos FC","Falcão","Muricy Ramalho",13,11,5.9,7.6,25.6,26.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2215",2015,"2015-06-21",8,"Arena Joinville","Igor Junior Benevenuto",9049,22400,"Joinville-SC","Goiás EC","Adilson Batista","Hélio dos Anjos",20,12,8,7.6,26.7,24.8,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2216",2020,"2020-11-23",22,"Estádio Adelmar da Costa Carvalho","Edina Alves Batista",0,35000,"Sport Recife","Atlético-GO","Jair Ventura","Marcelo Cabo",11,16,8.25,7.6,29,25.3,0,1,0,0,10,5,17,16,14,16,3,1,1,2,11,12,5,6
"2217",2015,"2015-11-18",35,"Estádio Serra Dourada","Ricardo Marques Ribeiro",16896,50049,"Goiás EC","Coritiba FC","Danny Sérgio","Pachequinho",17,18,10.85,7.6,26.1,26.5,1,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2218",2009,"2009-09-20",25,"Estádio Urbano Caldeira","Leonardo Gaciba da Silva",6335,NA,"Santos FC","Botafogo","Vanderlei Luxemburgo","Estevam Soares",9,17,11.7,7.6,26.9,26.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2219",2015,"2015-06-14",7,"Estádio Moisés Lucarelli","Pablo dos Santos Alves",9840,19728,"Ponte Preta","Goiás EC","Guto Ferreira","Hélio dos Anjos",3,11,15.25,7.6,27,24.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2220",2010,"2010-10-10",29,"Estádio Beira-Rio","Salvio Fagundes Filho",13328,NA,"Internacional","Atlético-MG","Celso Roth","Dorival Júnior",5,17,16.1,7.6,28.3,24.5,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2221",2011,"2011-07-06",8,"Estádio Beira-Rio","Paulo César de Oliveira",10735,NA,"Internacional","Atlético-PR","Falcão","Renato Gaúcho",7,20,20.05,7.6,27.7,26.2,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2222",2008,"2008-07-27",15,"Estádio Cícero Pompeu de Toledo","Leandro Pedro Vuaden",0,NA,"São Paulo","Portuguesa","Muricy Ramalho","Vágner Benazzi",6,16,23.15,7.6,28,28.3,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2223",2009,"2009-09-12",24,"Estádio Jornalista Mário Filho","André Luiz de Freitas Castro",26995,NA,"Flamengo","Sport Recife","Andrade","Péricles Chamusca",11,19,25.6,7.6,28.5,28.7,3,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2224",2022,"2022-05-31",8,"Estádio Beira-Rio","Marcelo de Lima Henrique  ",11050,56000,"Internacional","Atlético-GO","","",11,18,41.9,7.6,27.1,27.7,1,1,1,0,3,12,7,16,15,6,4,4,0,0,10,20,5,11
"2225",2014,"2014-08-10",14,"Estádio Cícero Pompeu de Toledo","André Luiz de Freitas Castro",29115,67428,"São Paulo","EC Vitória","Muricy Ramalho","Jorginho",7,15,42.15,7.6,27.7,28,3,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2226",2019,"2019-08-18",15,"Estádio Jornalista Mário Filho","Wagner Reway",25049,82238,"Fluminense","CSA","Fernando Diniz","Argel Fucks",16,19,43.45,7.6,24.6,30.3,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2227",2021,"2021-10-24",28,"Estádio Governador Magalhães Pinto","Savio Pereira Sampaio",30627,57018,"Atlético-MG","Cuiabá-MT","","",1,10,54.5,7.6,27.9,28.5,2,1,2,1,7,2,12,13,12,9,3,7,1,0,21,7,6,3
"2228",2020,"2020-12-20",26,"Estádio Jornalista Mário Filho","Flavio Rodrigues de Souza",0,78838,"Flamengo","EC Bahia","Rogério Ceni","Mano Menezes",2,16,71.15,7.6,27.9,27.7,4,3,2,0,7,8,17,22,21,15,3,1,2,1,16,17,5,2
"2229",2021,"2021-11-01",29,"Arena de Pernambuco","Luiz Flávio de Oliveira ",3685,45000,"Sport Recife","Atlético-GO","Gustavo Florentín","Eduardo Souza",19,9,7.2,7.63,27.1,27.1,2,0,0,0,6,3,15,13,13,13,3,4,2,0,22,16,10,8
"2230",2020,"2020-08-20",4,"Estádio Serra Dourada","Dyorgines Jose Padovani",0,50049,"Goiás EC","Fortaleza","Ney Franco","Rogério Ceni",19,18,8.98,7.63,27,29.5,1,3,0,1,2,6,16,15,14,14,0,3,3,2,13,13,9,5
"2231",2011,"2011-10-09",28,"Estádio Aderbal Ramos da Silva","Sandro Ricci",8531,NA,"Avaí FC","Atlético-PR","Toninho Cecílio","Antônio Lopes",19,17,4.05,7.65,25.5,25.7,3,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
