"","ano_campeonato","data","rodada","estadio","arbitro","publico","publico_max","time_mandante","time_visitante","tecnico_mandante","tecnico_visitante","colocacao_mandante","colocacao_visitante","valor_equipe_titular_mandante","valor_equipe_titular_visitante","idade_media_titular_mandante","idade_media_titular_visitante","gols_mandante","gols_visitante","gols_1_tempo_mandante","gols_1_tempo_visitante","escanteios_mandante","escanteios_visitante","faltas_mandante","faltas_visitante","chutes_bola_parada_mandante","chutes_bola_parada_visitante","defesas_mandante","defesas_visitante","impedimentos_mandante","impedimentos_visitante","chutes_mandante","chutes_visitante","chutes_fora_mandante","chutes_fora_visitante"
"2875",2018,"2018-10-27",31,"Arena do Grêmio","Dewson Fernando Freitas da Silva",13842,60540,"Grêmio","Sport Recife","Renato Gaúcho","Milton Mendes",5,19,8.9,10.05,26.4,27.1,3,4,1,2,10,0,10,15,15,10,0,2,0,0,5,4,5,4
"2876",2019,"2019-05-28",6,"Estádio Rei Pelé","Edina Alves Batista",9168,20000,"CSA","Goiás EC","Marcelo Cabo","Claudinei Oliveira",18,6,9.45,10.05,29.4,26.5,1,0,0,0,3,9,18,10,10,19,5,3,1,0,4,5,4,5
"2877",2018,"2018-11-23",36,"Arena Condá","Leandro Pedro Vuaden",12384,22600,"Chapecoense","Sport Recife","Claudinei Oliveira","Milton Mendes",18,16,11.35,10.05,29.5,27.3,2,1,2,0,7,6,20,9,10,20,2,5,0,1,7,4,3,6
"2878",2018,"2018-10-10",28,"Estádio Olímpico Nilton Santos","Ricardo Marques Ribeiro",10059,46931,"Botafogo","Vasco da Gama","Zé Ricardo","Alberto Valentim",12,16,12.6,10.05,25,28,1,1,1,1,7,6,12,9,9,12,7,7,0,0,3,4,3,0
"2879",2010,"2010-12-05",38,"Estádio Urbano Caldeira","Evandro Rogerio Roman",9086,NA,"Santos FC","Flamengo","Marcelo Martelotte","Vanderlei Luxemburgo",7,14,21.3,10.05,22.3,25.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2880",2017,"2017-07-02",11,"Neo Química Arena","Rodolpho Toski Marques",40341,49205,"Corinthians","Botafogo","Fábio Carille","Jair Ventura",1,6,22.5,10.05,26.5,27.1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2881",2021,"2021-08-22",17,"Arena do Grêmio","Caio Max Augusto Vieira",0,60540,"Grêmio","EC Bahia","Luiz Felipe Scolari","Bruno Lopes",19,13,26.3,10.05,27.3,27.2,2,0,0,0,4,2,12,15,15,12,3,4,0,0,15,9,5,6
"2882",2020,"2021-01-14",29,"Neo Química Arena","Rafael Traci",0,49205,"Corinthians","Fluminense","Vágner Mancini","Marcão",9,7,32.2,10.05,29.8,28.5,5,0,1,0,3,3,17,15,13,16,2,3,1,3,19,13,4,5
"2883",2022,"2022-11-02",35,"Arena da Baixada","Leandro Pedro Vuaden",13664,42372,"Athletico-PR","Goiás","Luiz Felipe Scolari","Jair Ventura",6,13,34.95,10.05,26.3,27.3,3,2,3,1,5,6,6,11,10,5,1,3,0,0,16,12,10,7
"2884",2020,"2020-10-13",11,"Estádio Jornalista Mário Filho","Paulo Roberto Alves Júnior",0,78838,"Flamengo","Goiás EC","Domènec Torrent","Enderson Moreira",6,19,49.2,10.05,25.2,27.5,2,1,1,1,9,4,12,12,11,12,3,10,1,4,31,7,13,2
"2885",2020,"2021-01-07",28,"Estádio Jornalista Mário Filho","Leandro Pedro Vuaden",0,78838,"Flamengo","Fluminense","Rogério Ceni","Marcão",2,7,74.65,10.05,27.4,28.5,1,2,1,0,11,4,12,22,21,12,3,7,0,2,19,11,7,4
"2886",2021,"2021-12-10",38,"Arena Barueri","Savio Pereira Sampaio",5304,32600,"Palmeiras","Ceará SC","Abel Ferreira","Tiago Nunes",3,10,6.75,10.08,20.4,28.2,1,0,1,0,5,8,18,4,3,15,7,1,2,0,12,30,7,13
"2887",2013,"2013-06-09",5,"Estádio Moisés Lucarelli","Claudio Francisco Lima e Silva",3473,19728,"Ponte Preta","Botafogo","Zé Sérgio","Oswaldo de Oliveira",17,5,4.05,10.1,26.3,28.4,0,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2888",2014,"2014-10-10",27,"Arena Condá","Ricardo Marques Ribeiro",17230,25000,"Chapecoense","Internacional","Jorginho","Abel Braga",16,2,4.9,10.1,26.7,29.8,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2889",2013,"2013-08-02",10,"Estádio do Governo do Estado de Goiás","Marcos André Gomes da Penha",18136,NA,"Goiás EC","Vasco da Gama","Enderson Moreira","Dorival Júnior",11,9,5.75,10.1,26.7,26.7,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2890",2009,"2009-11-08",34,"Estádio Olímpico Nilton Santos","Wilton Sampaio",12426,NA,"Botafogo","Coritiba FC","Estevam Soares","Ney Franco",16,14,6.6,10.1,27.3,26,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2891",2009,"2009-10-07",28,"Estádio Adelmar da Costa Carvalho","Wagner Tardelli Azevedo",10379,NA,"Sport Recife","Santos FC","Péricles Chamusca","Vanderlei Luxemburgo",19,12,7.3,10.1,28.8,25.7,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2892",2017,"2017-07-24",16,"Estádio Olímpico Pedro Ludovico Teixeira","Caio Max Augusto Vieira",5462,13500,"Atlético-GO","Botafogo","João Paulo Sanches","Jair Ventura",20,7,8.2,10.1,26.6,28.2,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2893",2017,"2017-10-12",27,"Estádio Olímpico Nilton Santos","Leandro Pedro Vuaden",7613,46931,"Botafogo","Chapecoense","Jair Ventura","Emerson Cris",6,12,8.75,10.1,25.9,27.7,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2894",2008,"2008-10-04",28,"Estádio São Januário","Alício Pena Junior",0,NA,"Vasco da Gama","Figueirense FC","Renato Gaúcho","Paulo César Gusmão",20,15,11,10.1,25.6,24.1,2,4,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2895",2008,"2008-09-28",27,"Estádio Major Antônio Couto Pereira","José Henrique de Carvalho",32718,NA,"Coritiba FC","Atlético-PR","Dorival Júnior","Geninho",7,16,12.4,10.1,23.7,25.1,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2896",2011,"2011-05-28",2,"Estádio Olímpico Nilton Santos","Héber Lopes",8662,NA,"Botafogo","Santos FC","Caio Júnior","Muricy Ramalho",14,10,13.1,10.1,25.3,23.8,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2897",2017,"2017-07-14",13,"Arena de Pernambuco","Dyorgines Jose Padovani",25861,35000,"Sport Recife","Chapecoense","Vanderlei Luxemburgo","Vinícius Eutrópio",6,15,17.4,10.1,28.8,27,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2898",2013,"2013-11-15",34,"Estádio Raimundo Sampaio","Marcelo de Lima Henrique",12451,NA,"Atlético-MG","Internacional","Cuca","Clemer",7,11,17.6,10.1,28.7,24.8,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2899",2009,"2009-10-18",30,"Estádio Olímpico Monumental","Celio Amorim",13341,NA,"Grêmio","Coritiba FC","Paulo Autuori","Ney Franco",9,15,26.8,10.1,27.2,27.9,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2900",2022,"2022-05-21",7,"Arena Barueri","Savio Pereira Sampaio",25797,32120,"Santos","Ceará SC","Fabián Bustos","Dorival Júnior",5,14,27.4,10.1,26,28.8,0,0,0,0,6,2,9,13,13,9,4,3,2,1,16,11,11,6
"2901",2008,"2008-05-10",1,"Estádio Cícero Pompeu de Toledo","Luís Antônio Silva Santos",7929,NA,"São Paulo","Grêmio","Muricy Ramalho","Celso Roth",14,6,28.4,10.1,27.3,24.4,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2902",2014,"2014-04-27",2,"Estádio Municipal Paulo Machado de Carvalho","Leandro Pedro Vuaden",36402,68000,"Corinthians","Flamengo","Mano Menezes","Jayme de Almeida",9,11,29.5,10.1,26.6,28.3,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2903",2016,"2016-07-10",14,"Arena do Grêmio","Jailson Macedo Freitas",34013,60540,"Grêmio","Figueirense FC","Roger Machado","Vinícius Eutrópio",3,15,30.25,10.1,26.3,27.3,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2904",2016,"2016-08-14",20,"Estádio Governador Magalhães Pinto","Jailson Macedo Freitas",13814,57483,"Cruzeiro","Coritiba FC","Mano Menezes","Paulo César Carpegiani",18,16,32.15,10.1,29.2,27.6,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2905",2021,"2021-11-18",33,"Estádio Governador Plácido Castelo","Raphael Claus",28037,60326,"Fortaleza","Ceará SC","Juan Pablo Vojvoda","Tiago Nunes",5,10,10.38,10.13,27.9,30.1,0,4,0,2,5,1,14,14,13,13,1,8,1,2,17,13,6,6
"2906",2013,"2013-11-03",32,"Estádio do Governo do Estado de Goiás","Sandro Ricci",9295,NA,"Goiás EC","Botafogo","Enderson Moreira","Oswaldo de Oliveira",5,2,3.9,10.15,27.5,28.9,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2907",2012,"2012-07-15",9,"Estádio Governador Roberto Santos","Franscisco Carlos do Nascimento",29206,NA,"EC Bahia","Flamengo","Falcão","Joel Santana",17,8,5.65,10.15,28.5,25.2,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2908",2018,"2018-07-30",16,"Arena Condá","Rodrigo Carvalhaes de Miranda",14382,22600,"Chapecoense","Grêmio","Gilson Kleina","Renato Gaúcho",17,4,8.6,10.15,28.1,27,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2909",2016,"2016-10-06",29,"Arena da Baixada","Wagner Reway",10553,42372,"Atlético-PR","Chapecoense","Paulo Autuori","Caio Júnior",6,11,11.35,10.15,26.2,31.2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2910",2012,"2012-10-20",32,"Allianz Parque","Marcelo de Lima Henrique",9873,NA,"Palmeiras","Cruzeiro","Gilson Kleina","Celso Roth",18,9,13.65,10.15,27.9,28.5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2911",2016,"2016-09-16",25,"Estádio Jornalista Mário Filho","Claudio Francisco Lima e Silva",8820,82238,"Fluminense","Chapecoense","Levir Culpi","Caio Júnior",7,11,21.8,10.15,28.6,NA,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2912",2022,"2022-04-24",3,"Estádio Urbano Caldeira","Wilton Sampaio",10374,20120,"Santos","América-MG","Fabián Bustos","Vagner Mancini",5,9,34.9,10.15,25.1,31.3,3,0,1,0,3,8,16,8,8,15,2,4,2,1,18,19,5,11
"2913",2020,"2020-08-23",5,"Estádio Jornalista Mário Filho","Leandro Pedro Vuaden",0,78838,"Flamengo","Botafogo","Domènec Torrent","Paulo Autuori",17,12,53.1,10.15,28.7,26.3,1,1,0,0,5,4,15,17,16,14,0,4,0,2,15,7,5,4
"2914",2019,"2019-07-14",10,"Estádio Jornalista Mário Filho","Caio Max Augusto Vieira",65154,78838,"Flamengo","Goiás EC","Jorge Jesus","Claudinei Oliveira",3,6,66.25,10.15,28.3,27.2,6,1,4,1,11,0,8,9,12,8,1,9,0,3,15,2,7,3
"2915",2022,"2022-08-20",23,"Estádio Governador Magalhães Pinto","Vinicius Gonçalves Dias Araujo",31650,57018,"Atlético-MG","Goiás","Cuca","Jair Ventura",7,13,66.9,10.15,29.7,27.3,0,1,0,0,7,0,10,13,12,10,2,7,0,2,28,5,16,2
"2916",2018,"2018-05-20",6,"Estádio Manoel Barradas","Marcelo de Lima Henrique",8371,35632,"EC Vitória","Ceará SC","Vágner Mancini","Marcelo Chamusca",18,19,10.58,10.18,27.5,29.8,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2917",2010,"2010-10-06",28,"Estádio Brinco de Ouro da Princesa","Carlos Simon",3601,NA,"Guarani","Botafogo","Vágner Mancini","Joel Santana",12,5,4.25,10.2,28.8,28.1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2918",2009,"2009-07-16",11,"Estádio Eládio de Barros Carvalho","Paulo César de Oliveira",13178,NA,"Náutico","EC Vitória","Geninho","Paulo César Carpegiani",19,3,6.9,10.2,25.7,25.2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2919",2022,"2022-05-15",6,"Estádio Major Antônio Couto Pereira","Bruno Arleu de Araújo",20818,40502,"Coritiba FC","América-MG","Gustavo Morínigo","Vagner Mancini",10,4,7.95,10.2,30.3,28.2,1,0,1,0,7,4,11,23,22,10,2,6,4,1,17,9,6,4
"2920",2016,"2016-11-26",37,"Estádio Olímpico Nilton Santos","Wilton Sampaio",12069,46931,"Botafogo","Ponte Preta","Jair Ventura","Eduardo Baptista",6,11,9.1,10.2,26.7,25.7,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2921",2019,"2019-11-06",31,"Arena Fonte Nova","Vinicius Furlan",16836,55000,"EC Bahia","Chapecoense","Roger Machado","Marquinhos Santos",10,19,12.95,10.2,27.4,30,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2922",2015,"2015-09-17",26,"Estádio Orlando Scarpelli","Flavio Rodrigues de Souza",9618,19908,"Figueirense FC","Avaí FC","Renê Simões","Gilson Kleina",17,18,14.6,10.2,25.6,27.5,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2923",2017,"2017-09-10",23,"Arena da Baixada","Anderson Daronco",17420,42372,"Atlético-PR","Coritiba FC","Fabiano Soares","Marcelo Oliveira",9,15,20.05,10.2,29.6,28.2,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2924",2009,"2009-10-03",27,"Estádio Municipal Paulo Machado de Carvalho","André Luiz de Freitas Castro",26842,NA,"Corinthians","Atlético-PR","Mano Menezes","Antônio Lopes",9,14,26.4,10.2,25.7,24.8,1,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2925",2019,"2019-11-27",35,"Estádio Beira-Rio","Caio Max Augusto Vieira",21302,56000,"Internacional","Goiás EC","Zé Ricardo","Ney Franco",7,9,27.15,10.2,30.7,28.3,1,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2926",2020,"2020-08-17",3,"Estádio Governador Plácido Castelo","Marielson Alves Silva",0,60326,"Fortaleza","Botafogo","Rogério Ceni","Paulo Autuori",18,14,7.23,10.23,30,26.1,0,0,0,0,4,7,9,8,8,9,6,1,2,1,12,15,8,6
"2927",2021,"2021-09-12",20,"Arena do Grêmio","Flavio Rodrigues de Souza",0,60540,"Grêmio","Ceará SC","Luiz Felipe Scolari","Tiago Nunes",18,12,33.5,10.23,26.8,29.7,2,0,2,0,5,4,22,9,8,22,1,1,0,0,13,8,8,5
"2928",2016,"2016-05-15",1,"Estádio José do Rego Maciel","Pablo dos Santos Alves",20038,60044,"Santa Cruz","EC Vitória","Milton Mendes","Vágner Mancini",2,19,5.1,10.25,28.6,26.6,4,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2929",2012,"2012-08-19",18,"Estádio Major Antônio Couto Pereira","Franscisco Carlos do Nascimento",11739,NA,"Coritiba FC","Cruzeiro","Marcelo Oliveira","Celso Roth",16,7,5.45,10.25,25.6,27.1,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2930",2015,"2015-05-17",2,"Estádio Orlando Scarpelli","Thiago Duarte Peixoto",11004,19908,"Figueirense FC","Vasco da Gama","Argel Fucks","Doriva",19,13,9.85,10.25,25.8,28.7,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2931",2015,"2015-08-02",16,"Estádio Major Antônio Couto Pereira","Dewson Fernando Freitas da Silva",24595,37182,"Coritiba FC","Goiás EC","Ney Franco","Julinho Camargo",19,17,10.1,10.25,26.4,24.7,1,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2932",2022,"2022-04-10",1,"Estádio Governador Plácido Castelo","Felipe Fernandes",18279,60326,"Fortaleza","Cuiabá-MT","Juan Pablo Vojvoda","Pintado",16,7,11.05,10.25,27.4,29.3,0,1,0,1,7,1,22,23,19,21,3,5,1,0,22,9,7,3
"2933",2015,"2015-10-25",32,"Arena Condá","Anderson Daronco",7919,25000,"Chapecoense","Avaí FC","Guto Ferreira","Gilson Kleina",14,17,11.55,10.25,28.1,25.1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2934",2015,"2015-08-30",21,"Arena da Baixada","Jailson Macedo Freitas",14348,42372,"Atlético-PR","Goiás EC","Milton Mendes","Julinho Camargo",8,15,15.5,10.25,24.8,25.3,3,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2935",2019,"2019-10-30",29,"Estádio Raimundo Sampaio","Diego Pombo Lopez",19058,23018,"Atlético-MG","Chapecoense","Vágner Mancini","Marquinhos Santos",12,19,19.65,10.25,30.1,29.4,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2936",2016,"2016-07-01",12,"Allianz Parque","Gilberto Rodrigues Castro Junior",32834,43600,"Palmeiras","Figueirense FC","Cuca","Vinícius Eutrópio",1,12,25.5,10.25,28.1,27.9,4,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2937",2022,"2022-07-10",16,"Estádio Jornalista Mário Filho","Luiz Flávio de Oliveira ",63707,65398,"Fluminense","Ceará SC","Fernando Diniz","Marquinhos Santos",6,15,26.35,10.25,28.4,30.4,2,1,1,0,9,10,16,17,17,16,5,4,0,2,18,17,8,4
"2938",2008,"2008-08-20",21,"Estádio Cícero Pompeu de Toledo","tbc",0,NA,"São Paulo","Atlético-PR","Muricy Ramalho","Mário Sérgio",5,14,28.1,10.25,28.9,24.3,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2939",2018,"2018-09-30",27,"Estádio Urbano Caldeira","Caio Max Augusto Vieira",7802,20120,"Santos FC","Atlético-PR","Cuca","Tiago Nunes",11,10,31.3,10.25,26.9,26.8,1,0,0,0,12,5,7,18,20,9,4,6,2,2,7,4,3,4
"2940",2015,"2015-08-16",19,"Estádio Cícero Pompeu de Toledo","Marielson Alves Silva",25452,67428,"São Paulo","Goiás EC","Juan Carlos Osorio","Julinho Camargo",4,17,33.25,10.25,26.8,24.7,0,3,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2941",2009,"2009-07-04",9,"Estádio Jornalista Mário Filho","Nielson Nogueira Dias",20296,NA,"Flamengo","EC Vitória","Cuca","Paulo César Carpegiani",8,3,35.85,10.25,27,24.5,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2942",2014,"2014-11-29",37,"Estádio Heriberto Hülse","Wagner Reway",2498,22000,"Criciúma EC","Sport Recife","Luizinho Vieira","Eduardo Baptista",20,10,3.2,10.3,25.3,27.3,2,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2943",2009,"2009-06-28",8,"Estádio Adelmar da Costa Carvalho","Marcelo de Lima Henrique",14883,NA,"Sport Recife","Grêmio","Emerson Leão","Paulo Autuori",19,9,6,10.3,29,24.6,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2944",2014,"2014-10-23",30,"Estádio Major Antônio Couto Pereira","Anderson Daronco",8106,37182,"Coritiba FC","Botafogo","Marquinhos Santos","Vágner Mancini",20,18,7.6,10.3,27.5,27,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2945",2008,"2008-07-20",13,"Arena da Baixada","Wallace Nascimento Valente",0,NA,"Atlético-PR","Vasco da Gama","Roberto Fernandes","Antônio Lopes",15,11,11.9,10.3,24.8,24.2,3,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2946",2010,"2010-08-01",12,"Estádio Jornalista Mário Filho","Péricles Bassols Pegado Cortez",57035,NA,"Flamengo","Vasco da Gama","Rogério Lourenço","Paulo César Gusmão",7,12,15.15,10.3,29.5,26.4,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2947",2018,"2018-08-24",20,"Estádio Raimundo Sampaio","Leandro Pedro Vuaden",22452,23018,"Atlético-MG","Vasco da Gama","Thiago Larghi","Valdir",5,15,17.35,10.3,29.5,28,0,0,0,0,12,1,16,15,15,16,4,4,0,0,4,4,13,4
"2948",2010,"2010-05-26",4,"Estádio Governador Magalhães Pinto","Jailson Macedo Freitas",8561,NA,"Cruzeiro","Botafogo","Adilson Batista","Joel Santana",9,3,27.4,10.3,28,28.1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2949",2020,"2020-11-26",23,"Estádio Governador Magalhães Pinto","Savio Pereira Sampaio",0,57000,"Atlético-MG","Botafogo","Jorge Sampaoli","Emiliano Ramón Díaz",2,19,35.5,10.33,26.3,25.9,2,1,1,0,10,2,25,19,19,23,2,4,2,4,11,4,5,1
"2950",2018,"2018-09-15",25,"Estádio Governador Plácido Castelo","Marcelo Aparecido Ribeiro de Souza",32136,60326,"Ceará SC","EC Vitória","Lisca","Paulo César Carpegiani",19,12,6.18,10.35,27.8,24.3,2,0,1,0,4,3,18,15,16,18,4,1,0,1,2,0,8,2
"2951",2019,"2019-07-22",11,"Estádio Aderbal Ramos da Silva","Rodolpho Toski Marques",5447,17800,"Avaí FC","Goiás EC","Alberto Valentim","Claudinei Oliveira",20,8,6.2,10.35,28.6,27.3,0,0,0,0,5,3,16,18,18,17,2,3,1,0,3,2,6,2
"2952",2008,"2008-06-14",6,"Estádio do Governo do Estado de Goiás","Jailson Macedo Freitas",0,NA,"Goiás EC","Grêmio","Vadão","Celso Roth",19,4,6.75,10.35,28.3,24.7,0,3,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2953",2010,"2010-05-30",5,"Estádio Serra Dourada","André Luiz de Freitas Castro",5203,NA,"Atlético-GO","Goiás EC","Geninho","Emerson Leão",19,20,7.15,10.35,28.5,25.9,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2954",2018,"2018-09-25",26,"Estádio São Januário","Leandro Pedro Vuaden",13293,24584,"Vasco da Gama","EC Bahia","Alberto Valentim","Enderson Moreira",18,14,12.2,10.35,29.5,26.3,2,1,1,1,4,8,13,15,16,18,5,2,5,1,5,6,2,2
"2955",2014,"2014-09-14",21,"Estádio Beira-Rio","André Luiz de Freitas Castro",16456,56000,"Internacional","Botafogo","Abel Braga","Vágner Mancini",4,14,14.9,10.35,27.9,28.4,2,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2956",2017,"2017-09-17",24,"Arena do Grêmio","Marcelo de Lima Henrique",14618,60540,"Grêmio","Chapecoense","Renato Gaúcho","Emerson Cris",2,18,15.75,10.35,27.7,26.9,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2957",2008,"2008-07-13",11,"Estádio Governador Magalhães Pinto","Salvio Fagundes Filho",0,NA,"Cruzeiro","Atlético-MG","Adilson Batista","Alexandre Gallo",3,12,20.9,10.35,26.7,26.3,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2958",2011,"2011-11-20",36,"Estádio Major Antônio Couto Pereira","Elmo Alves Resende Cunha",16447,NA,"Coritiba FC","Santos FC","Marcelo Oliveira","Muricy Ramalho",10,9,4.45,10.4,27.9,24.5,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2959",2011,"2011-11-13",34,"Estádio Governador Plácido Castelo","Anderson Daronco",16277,NA,"Ceará SC","Santos FC","Dimas Filgueiras","Muricy Ramalho",16,10,4.95,10.4,28.2,24.4,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2960",2016,"2016-08-20",21,"Estádio Raimundo Sampaio","Flavio Rodrigues de Souza",1191,25000,"América-MG","Chapecoense","Enderson Moreira","Caio Júnior",20,10,6.9,10.4,28.2,23.3,1,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2961",2018,"2018-05-20",6,"Estádio Raimundo Sampaio","Rodolpho Toski Marques",4689,25000,"América-MG","Botafogo","Enderson Moreira","Alberto Valentim",10,7,7.9,10.4,27.8,26.1,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2962",2008,"2008-06-14",6,"Estádio Doutor Osvaldo Texeira Duarte","Elmo Alves Resende Cunha",0,NA,"Portuguesa","Atlético-PR","Vágner Benazzi","Roberto Fernandes",14,5,8.2,10.4,27.1,25.8,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2963",2022,"2022-06-04",9,"Estádio Raimundo Sampaio","Raphael Claus",2720,25000,"América-MG","Cuiabá-MT","Vagner Mancini","Toni Oliveira",10,17,8.55,10.4,31,28.4,2,1,1,1,8,4,11,11,9,11,1,4,3,4,16,5,7,1
"2964",2016,"2016-09-18",26,"Arena Condá","João Batista de Arruda",2709,25000,"Chapecoense","Ponte Preta","Caio Júnior","Eduardo Baptista",9,6,9.15,10.4,30.6,28.2,2,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2965",2014,"2014-10-19",29,"Estádio General Sílvio Raulino de Oliveira","Ricardo Marques Ribeiro",3059,46931,"Botafogo","Sport Recife","Vágner Mancini","Eduardo Baptista",20,11,10.1,10.4,26.3,27.7,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
