,Ano,Time,Total_Viagens_KM,Media_Viagem_KM,Jogos_Fora
82,2006,Flamengo,12960.7285979238,682.143610417044,19
83,2006,Fluminense,12960.7285979238,682.143610417044,19
84,2006,Vasco,12960.7285979238,682.143610417044,19
85,2006,Ponte Preta,11563.4152454049,608.600802389733,19
86,2006,Santos,11211.9837563543,590.104408229172,19
87,2006,Sao Caetano,11058.8220915359,582.043267975572,19
88,2006,Corinthians,11051.4138301012,581.653359479012,19
89,2006,Palmeiras,11051.4138301012,581.653359479012,19
90,2006,Sao Paulo,11051.4138301012,581.653359479012,19
91,2007,America-RN,41359.9769421068,2176.84089168983,19
92,2007,Nautico,37837.4814719045,1991.44639325813,19
93,2007,Sport,37837.4814719045,1991.44639325813,19
94,2007,Gremio,22794.9763616017,1199.73559797904,19
95,2007,Internacional,22794.9763616017,1199.73559797904,19
96,2007,Goias,21578.9362240241,1135.73348547495,19
97,2007,Juventude,21567.9936673248,1135.15756143815,19
98,2007,Figueirense,17695.6321942144,931.349062853387,19
99,2007,Athletico-PR,16076.4806669973,846.130561420911,19
100,2007,Parana,16076.4806669973,846.130561420911,19
101,2007,Atletico-MG,15709.0347599521,826.791303155375,19
102,2007,Cruzeiro,15709.0347599521,826.791303155375,19
103,2007,Botafogo-RJ,14319.8952314942,753.678696394434,19
104,2007,Flamengo,14319.8952314942,753.678696394434,19
105,2007,Fluminense,14319.8952314942,753.678696394434,19
106,2007,Vasco,14319.8952314942,753.678696394434,19
107,2007,Santos,13636.2179831696,717.695683324716,19
108,2007,Corinthians,13531.2614403664,712.171654756127,19
109,2007,Palmeiras,13531.2614403664,712.171654756127,19
110,2007,Sao Paulo,13531.2614403664,712.171654756127,19
111,2008,Nautico,36872.4703229225,1940.6563327854,19
112,2008,Sport,36872.4703229225,1940.6563327854,19
113,2008,Vitoria,26164.1595672724,1377.06102985644,19
114,2008,Gremio,23294.3710857734,1226.01953083018,19
115,2008,Internacional,23294.3710857734,1226.01953083018,19
116,2008,Goias,20225.7016929136,1064.51061541651,19
117,2008,Figueirense,17603.5118162336,926.50062190703,19
118,2008,Athletico-PR,15716.2978850792,827.173572898904,19
119,2008,Coritiba,15716.2978850792,827.173572898904,19
120,2008,Ipatinga,14957.2993192003,787.22627995791,19
121,2008,Atletico-MG,13733.1443299392,722.797069996803,19
122,2008,Cruzeiro,13733.1443299392,722.797069996803,19
123,2008,Botafogo-RJ,12770.0985747084,672.11045130044,19
124,2008,Flamengo,12770.0985747084,672.11045130044,19
125,2008,Fluminense,12770.0985747084,672.11045130044,19
126,2008,Vasco,12770.0985747084,672.11045130044,19
127,2008,Santos,12646.3053360043,665.595017684437,19
128,2008,Palmeiras,12512.1160311501,658.532422692111,19
129,2008,Portuguesa,12512.1160311501,658.532422692111,19
130,2008,Sao Paulo,12512.1160311501,658.532422692111,19
